cod_ibge,cod_mun6,nome_mun,ano,pop,casos
3513009,351300,Cotia,2014,225437,381
3513108,351310,Cravinhos,2014,32393,106
3513207,351320,Cristais Paulista,2014,8124,3
3513306,351330,Cruzália,2014,2223,3
3513405,351340,Cruzeiro,2014,76938,66
3513504,351350,Cubatão,2014,117649,498
3513603,351360,Cunha,2014,22033,0
3513702,351370,Descalvado,2014,31449,103
3513801,351380,Diadema,2014,391850,841
3513850,351385,Dirce Reis,2014,1677,5
3513900,351390,Divinolândia,2014,11273,3
3514007,351400,Dobrada,2014,8275,11
3514106,351410,Dois Córregos,2014,24833,82
3514205,351420,Dolcinópolis,2014,2125,3
3514304,351430,Dourado,2014,8478,27
3514403,351440,Dracena,2014,44159,98
3514502,351450,Duartina,2014,12338,15
3514601,351460,Dumont,2014,8536,41
3514700,351470,Echaporã,2014,6308,5
3514809,351480,Eldorado,2014,14187,5
3514908,351490,Elias Fausto,2014,16424,54
3514924,351492,Elisiário,2014,3134,8
3514957,351495,Embaúba,2014,2403,1
3515004,351500,Embu das Artes,2014,245599,572
3515103,351510,Embu-Guaçu,2014,64587,30
3515129,351512,Emilianópolis,2014,3046,1
3515152,351515,Engenheiro Coelho,2014,16931,17
3515186,351518,Espírito Santo do Pinhal,2014,41438,15
3515194,351519,Espírito Santo do Turvo,2014,4223,0
3515202,351520,Estrela d'Oeste,2014,8608,212
3515301,351530,Estrela do Norte,2014,2696,33
3515350,351535,Euclides da Cunha Paulista,2014,9110,29
3515400,351540,Fartura,2014,15812,1
3515509,351550,Fernandópolis,2014,67033,214
3515608,351560,Fernando Prestes,2014,5672,1
3515657,351565,Fernão,2014,1601,1
3515707,351570,Ferraz de Vasconcelos,2014,172523,84
3515806,351580,Flora Rica,2014,1677,14
3515905,351590,Floreal,2014,2924,9
3516002,351600,Flórida Paulista,2014,12920,88
3516101,351610,Florínea,2014,3208,61
3516200,351620,Franca,2014,330547,281
3516309,351630,Francisco Morato,2014,158413,1532
3516408,351640,Franco da Rocha,2014,136163,2532
3516507,351650,Gabriel Monteiro,2014,2747,14
3516606,351660,Gália,2014,6862,4
3516705,351670,Garça,2014,43077,35
3516804,351680,Gastão Vidigal,2014,3937,14
3516853,351685,Gavião Peixoto,2014,4529,4
3516903,351690,General Salgado,2014,10627,122
3517000,351700,Getulina,2014,10647,15
3517109,351710,Glicério,2014,4457,43
3517208,351720,Guaiçara,2014,10909,52
3517307,351730,Guaimbê,2014,5482,1
3517406,351740,Guaíra,2014,38223,54
3517505,351750,Guapiaçu,2014,19088,17
3517604,351760,Guapiara,2014,17832,6
3517703,351770,Guará,2014,19546,5
3517802,351780,Guaraçaí,2014,8183,29
3517901,351790,Guaraci,2014,10174,2
3518008,351800,Guarani d'Oeste,2014,1981,1
3518107,351810,Guarantã,2014,6447,50
3518206,351820,Guararapes,2014,30931,505
3518305,351830,Guararema,2014,27686,113
3518404,351840,Guaratinguetá,2014,114308,120
3518503,351850,Guareí,2014,14777,0
3518602,351860,Guariba,2014,36486,16
3518701,351870,Guarujá,2014,291660,499
3518800,351880,Guarulhos,2014,1250680,5870
3518859,351885,Guatapará,2014,7118,4
3518909,351890,Guzolândia,2014,4624,8
3519006,351900,Herculândia,2014,8877,9
3519055,351905,Holambra,2014,12461,82
3519071,351907,Hortolândia,2014,207436,2188
3519105,351910,Iacanga,2014,10146,25
3519204,351920,Iacri,2014,6379,5
3519253,351925,Iaras,2014,6911,39
3519303,351930,Ibaté,2014,31303,15
